Title,Lead Actor,Release Year,Genre,
Scarface,Al Pacino,1983,Crime,
The Pianist,Adrien Brody,2002,Drama,
The Pursuit of Happyness,Will Smith,2006,Biography,
A Beautiful Mind,Russell Crowe,2001,Biography,
The Sixth Sense,Bruce Willis,1999,Thriller,
The French Dispatch, Bill Murray,2021, Comedy,
Dune, Timothée Chalamet,2021, Sci-Fi,
No Time to Die, Daniel Craig,2021, Action,
The Suicide Squad, Margot Robbie,2021, Action,
The Last Duel, Matt Damon,2021, Drama,
Shang-Chi and the Legend of the Ten Rings, Simu Liu,2021, Action,
Free Guy, Ryan Reynolds,2021, Comedy,
Cruella, Emma Stone,2021, Crime,
Luca, Jacob Tremblay,2021, Animation,
A Quiet Place Part II, Emily Blunt,2020, Thriller,
Tenet, John David Washington,2020, Sci-Fi,
Palm Springs, Andy Samberg,2020, Comedy,
Soul, Jamie Foxx,2020, Animation,
The Invisible Man, Elisabeth Moss,2020, Horror,
Mulan, Liu Yifei,2020, Action,
Wonder Woman 1984, Gal Gadot,2020, Action,
The Trial of the Chicago 7, Eddie Redmayne,2020, Drama,
Jojo Rabbit, Roman Griffin Davis,2019, Comedy,
Knives Out, Daniel Craig,2019, Mystery,
Once Upon a Time in Hollywood, Leonardo DiCaprio,2019, Comedy,
Toy Story 4, Tom Hanks,2019, Animation,
1917, George MacKay,2019, War,
Ford v Ferrari, Christian Bale,2019, Biography,
Marriage Story, Adam Driver,2019, Drama,
Frozen II, Idina Menzel,2019, Animation,
Spider-Man: Far From Home, Tom Holland,2019, Action,
Aladdin, Will Smith,2019, Adventure,
Rocketman, Taron Egerton,2019, Biography,
John Wick: Chapter 3 – Parabellum, Keanu Reeves,2019, Action,
Captain Marvel, Brie Larson,2019, Action,
Aquaman, Jason Momoa,2018, Action,
Ralph Breaks the Internet, John C. Reilly,2018, Animation,
Green Book, Viggo Mortensen,2018, Biography,
Bohemian Rhapsody, Rami Malek,2018, Biography,
BlacKkKlansman, John David Washington,2018, Biography,
The Favourite, Olivia Colman,2018, Drama,
Roma, Yalitza Aparicio,2018, Drama,
A Quiet Place, Emily Blunt,2018, Thriller,
Ready Player One, Tye Sheridan,2018, Sci-Fi,
Isle of Dogs, Bryan Cranston,2018, Animation,
The Shape of Water, Sally Hawkins,2017, Drama,
Dunkirk, Fionn Whitehead,2017, War,
Lady Bird, Saoirse Ronan,2017, Drama,
The Post, Meryl Streep,2017, Biography,
Three Billboards Outside Ebbing Missouri, Frances McDormand,2017, Drama,
The Greatest Showman, Hugh Jackman,2017, Musical,
It, Bill Skarsgård,2017, Horror,
Blade Runner 2049, Ryan Gosling,2017, Sci-Fi,
Logan, Hugh Jackman,2017, Action,
Get Out, Daniel Kaluuya,2017, Horror,
Call Me by Your Name, Timothée Chalamet,2017, Drama,
The Florida Project, Willem Dafoe,2017, Drama,
Coco, Anthony Gonzalez,2017, Animation,
Star Wars: The Last Jedi, Mark Hamill,2017, Sci-Fi,
The Disaster Artist, James Franco,2017, Comedy,
War for the Planet of the Apes, Andy Serkis,2017, Action,
The Big Sick, Kumail Nanjiani,2017, Comedy,
Guardians of the Galaxy Vol. 2, Chris Pratt,2017, Adventure,
Beauty and the Beast, Emma Watson,2017, Fantasy,
John Wick: Chapter 2, Keanu Reeves,2017, Action,
Hidden Figures, Taraji P. Henson,2016, Biography,
Arrival, Amy Adams,2016, Sci-Fi,
Zootopia, Ginnifer Goodwin,2016, Animation,
Inside Out, Amy Poehler,2015, Animation,
Sicario, Emily Blunt,2015, Thriller,
Room, Brie Larson,2015, Drama,
The Martian, Matt Damon,2015, Adventure,
The Hateful Eight, Samuel L. Jackson,2015, Western,
Star Wars: The Force Awakens, Daisy Ridley,2015, Sci-Fi,
Spectre, Daniel Craig,2015, Action,
The Peanuts Movie, Noah Schnapp,2015, Animation,
Bridge of Spies, Tom Hanks,2015, Drama,
The Danish Girl, Eddie Redmayne,2015, Biography,
The Intern, Robert De Niro,2015, Comedy,
Straight Outta Compton, O'Shea Jackson Jr.,2015, Biography,
Mission: Impossible – Rogue Nation, Tom Cruise,2015, Action,
Minions, Pierre Coffin,2015, Animation,
Kingsman: The Secret Service, Taron Egerton,2014, Action,
The Theory of Everything, Eddie Redmayne,2014, Biography,
Nightcrawler, Jake Gyllenhaal,2014, Thriller,
Edge of Tomorrow, Tom Cruise,2014, Action,
The LEGO Movie, Chris Pratt,2014, Animation,
Gravity, Sandra Bullock,2013, Sci-Fi,
Frozen, Idina Menzel,2013, Animation,
American Hustle, Christian Bale,2013, Drama,
The Hobbit: The Desolation of Smaug, Martin Freeman,2013, Fantasy,
Prisoners, Hugh Jackman,2013, Thriller,
Pacific Rim, Charlie Hunnam,2013, Sci-Fi,
Life of Pi, Suraj Sharma,2012, Adventure,
Silver Linings Playbook, Bradley Cooper,2012, Drama,
The Hobbit: An Unexpected Journey, Martin Freeman,2012, Fantasy,
The Intouchables, François Cluzet,2011, Biography,
The Help, Viola Davis,2011, Drama,
The Artist, Jean Dujardin,2011, Comedy,
Midnight in Paris, Owen Wilson,2011, Fantasy,
Moneyball, Brad Pitt,2011, Drama,
War Horse, Jeremy Irvine,2011, War,
Rise of the Planet of the Apes, James Franco,2011, Sci-Fi,
Black Swan, Natalie Portman,2010, Drama,
Toy Story 3, Tom Hanks,2010, Animation,
The Fighter, Mark Wahlberg,2010, Drama,
The Town, Ben Affleck,2010, Crime,
The Book of Eli, Denzel Washington,2010, Action,
Sherlock Holmes, Robert Downey Jr.,2009, Action,
District 9, Sharlto Copley,2009, Sci-Fi,
Up, Ed Asner,2009, Animation,
The Hangover, Bradley Cooper,2009, Comedy,
The Blind Side, Sandra Bullock,2009, Biography,
Star Trek, Chris Pine,2009, Sci-Fi,
The Curious Case of Benjamin Button, Brad Pitt,2008, Fantasy,
Indiana Jones and the Kingdom of the Crystal Skull, Harrison Ford,2008, Action,
Ratatouille, Patton Oswalt,2007, Animation,
Atonement, Keira Knightley,2007, Drama,
300, Gerard Butler,2006, Action,
Little Miss Sunshine, Abigail Breslin,2006, Comedy,
Brokeback Mountain, Heath Ledger,2005, Romance,
Crash, Don Cheadle,2005, Drama,
Batman Begins, Christian Bale,2005, Action,
Charlie and the Chocolate Factory, Johnny Depp,2005, Fantasy,
V for Vendetta, Natalie Portman,2005, Action,
The Incredibles, Craig T. Nelson,2004, Animation,
The Aviator, Leonardo DiCaprio,2004, Biography,
Finding Neverland, Johnny Depp,2004, Biography,
Million Dollar Baby, Hilary Swank,2004, Drama,
Shrek 2, Mike Myers,2004, Animation,
The Passion of the Christ, Jim Caviezel,2004, Drama,
Eternal Sunshine of the Spotless Mind, Jim Carrey,2004, Romance,
Troy, Brad Pitt,2004, Action,
Kill Bill: Vol. 2, Uma Thurman,2004, Action,
The Butterfly Effect, Ashton Kutcher,2004, Sci-Fi,
Lost in Translation, Bill Murray,2003, Drama,
Finding Nemo, Albert Brooks,2003, Animation,
Pirates of the Caribbean: The Curse of the Black Pearl, Johnny Depp,2003, Adventure,
Mystic River, Sean Penn,2003, Crime,
Big Fish, Ewan McGregor,2003, Fantasy,
Kill Bill: Vol. 1, Uma Thurman,2003, Action,
The Last Samurai, Tom Cruise,2003, Drama,
Love Actually, Hugh Grant,2003, Romance,
The Matrix Reloaded, Keanu Reeves,2003, Sci-Fi,
The Matrix Revolutions, Keanu Reeves,2003, Sci-Fi,
X2: X-Men United, Hugh Jackman,2003, Action,
Master and Commander: The Far Side of the World, Russell Crowe,2003, Adventure,
The Bourne Identity, Matt Damon,2002, Action,
Catch Me If You Can, Leonardo DiCaprio,2002, Biography,
Spider-Man, Tobey Maguire,2002, Action,
Minority Report, Tom Cruise,2002, Sci-Fi,
Road to Perdition, Tom Hanks,2002, Crime,
Gangs of New York, Leonardo DiCaprio,2002, Drama,
Signs, Mel Gibson,2002, Thriller,
Chicago, Renée Zellweger,2002, Musical,
8 Mile, Eminem,2002, Drama,
Ice Age, Ray Romano,2002, Animation,
Harry Potter and the Chamber of Secrets, Daniel Radcliffe,2002, Fantasy,
The Ring, Naomi Watts,2002, Horror,
Harry Potter and the Sorcerer’s Stone, Daniel Radcliffe,2001, Fantasy,
Shrek, Mike Myers,2001, Animation,
Black Hawk Down, Josh Hartnett,2001, War,
Monsters Inc., John Goodman,2001, Animation,
The Royal Tenenbaums, Gene Hackman,2001, Comedy,
Ocean's Eleven, George Clooney,2001, Crime,
Donnie Darko, Jake Gyllenhaal,2001, Sci-Fi,
Amélie, Audrey Tautou,2001, Romance,
Training Day, Denzel Washington,2001, Crime,
The Fast and the Furious, Vin Diesel,2001, Action,
Moulin Rouge!, Nicole Kidman,2001, Musical,
A.I. Artificial Intelligence, Haley Joel Osment,2001, Sci-Fi,
Zoolander, Ben Stiller,2001, Comedy,
Cast Away, Tom Hanks,2000, Drama,
X-Men, Hugh Jackman,2000, Action,
Requiem for a Dream, Jared Leto,2000, Drama,
American Psycho, Christian Bale,2000, Thriller,
Almost Famous, Billy Crudup,2000, Drama,
Crouching Tiger Hidden Dragon, Chow Yun-fat,2000, Action,
American Beauty, Kevin Spacey,1999, Drama,
Notting Hill, Hugh Grant,1999, Romance,
The Blair Witch Project, Heather Donahue,1999, Horror,
Magnolia, Tom Cruise,1999, Drama,
The Mummy, Brendan Fraser,1999, Adventure,
10 Things I Hate About You, Heath Ledger,1999, Comedy,
The Iron Giant, Vin Diesel,1999, Animation,
The Thin Red Line, Sean Penn,1998, War,
The Truman Show, Jim Carrey,1998, Comedy,
Armageddon, Bruce Willis,1998, Sci-Fi,
Shakespeare in Love, Joseph Fiennes,1998, Romance,
Life Is Beautiful, Roberto Benigni,1997, Drama,
Good Will Hunting, Matt Damon,1997, Drama,
L.A. Confidential, Kevin Spacey,1997, Crime,
The Fifth Element, Bruce Willis,1997, Sci-Fi,
Men in Black, Will Smith,1997, Sci-Fi,
As Good as It Gets, Jack Nicholson,1997, Comedy,
The Full Monty, Robert Carlyle,1997, Comedy,
Boogie Nights, Mark Wahlberg,1997, Drama,
The English Patient, Ralph Fiennes,1996, Drama,
Jerry Maguire, Tom Cruise,1996, Romance,
Fargo, Frances McDormand,1996, Crime,
Independence Day, Will Smith,1996, Sci-Fi,
Trainspotting, Ewan McGregor,1996, Drama,
Twister, Helen Hunt,1996, Action,
Mission: Impossible, Tom Cruise,1996, Action,
Seven, Brad Pitt,1995, Thriller,
Toy Story, Tom Hanks,1995, Animation,
Apollo 13, Tom Hanks,1995, Drama,
Casino, Robert De Niro,1995, Crime,
Sense and Sensibility, Emma Thompson,1995, Drama,
Babe, James Cromwell,1995, Comedy,
The Mask, Jim Carrey,1994, Comedy,
Speed, Keanu Reeves,1994, Action,
Dumb and Dumber, Jim Carrey,1994, Comedy,
The Crow, Brandon Lee,1994, Action,
The Fugitive, Harrison Ford,1993, Action,
The Nightmare Before Christmas, Danny Elfman,1993, Animation,
Mrs. Doubtfire, Robin Williams,1993, Comedy,
Groundhog Day, Bill Murray,1993, Comedy,
True Romance, Christian Slater,1993, Romance,
Philadelphia, Tom Hanks,1993, Drama,
The Piano, Holly Hunter,1993, Drama,
Unforgiven, Clint Eastwood,1992, Western,
A Few Good Men, Tom Cruise,1992, Drama,
The Bodyguard, Whitney Houston,1992, Romance,
Reservoir Dogs, Harvey Keitel,1992, Crime,
Dracula, Gary Oldman,1992, Horror,
Home Alone 2: Lost in New York, Macaulay Culkin,1992, Comedy,
Robin Hood: Prince of Thieves, Kevin Costner,1991, Adventure,
Cape Fear, Robert De Niro,1991, Thriller,
JFK, Kevin Costner,1991, Biography,
Thelma & Louise, Geena Davis,1991, Drama,
Dances with Wolves, Kevin Costner,1990, Adventure,
Home Alone, Macaulay Culkin,1990, Comedy,
Ghost, Patrick Swayze,1990, Drama,
Total Recall, Arnold Schwarzenegger,1990, Sci-Fi,
Back to the Future Part III, Michael J. Fox,1990, Sci-Fi,
Die Hard 2, Bruce Willis,1990, Action,
The Hunt for Red October, Sean Connery,1990, Thriller,
The Little Mermaid, Jodi Benson,1989, Animation,
Batman, Michael Keaton,1989, Action,
Dead Poets Society, Robin Williams,1989, Drama,
Field of Dreams, Kevin Costner,1989, Drama,
When Harry Met Sally..., Billy Crystal,1989, Romance,
The Abyss, Ed Harris,1989, Sci-Fi,
Honey I Shrunk the Kids, Rick Moranis,1989, Comedy,
Beetlejuice, Michael Keaton,1988, Comedy,
Rain Man, Dustin Hoffman,1988, Drama,
Who Framed Roger Rabbit, Bob Hoskins,1988, Animation,
Die Hard, Bruce Willis,1988, Action,
Big, Tom Hanks,1988, Comedy,
Coming to America, Eddie Murphy,1988, Comedy,
The Princess Bride, Cary Elwes,1987, Adventure,
Predator, Arnold Schwarzenegger,1987, Action,
The Untouchables, Kevin Costner,1987, Crime,
Full Metal Jacket, Matthew Modine,1987, War,
Robocop, Peter Weller,1987, Action,
Lethal Weapon, Mel Gibson,1987, Action,
Dirty Dancing, Patrick Swayze,1987, Romance,
Platoon, Charlie Sheen,1986, War,
Ferris Bueller's Day Off, Matthew Broderick,1986, Comedy,
Top Gun, Tom Cruise,1986, Action,
The Fly, Jeff Goldblum,1986, Horror,
Stand by Me, Wil Wheaton,1986, Drama,
The Color Purple, Whoopi Goldberg,1985, Drama,
The Goonies, Sean Astin,1985, Adventure,
Rocky IV, Sylvester Stallone,1985, Drama,
The Breakfast Club, Emilio Estevez,1985, Comedy,
Rambo: First Blood Part II, Sylvester Stallone,1985, Action,
Ghostbusters, Bill Murray,1984, Comedy,
Gremlins, Zach Galligan,1984, Horror,
The Karate Kid, Ralph Macchio,1984, Drama,
A Nightmare on Elm Street, Robert Englund,1984, Horror,
It Follows, Maika Monroe,2014, Horror,
Captain Fantastic, Viggo Mortensen,2016, Drama,
Looper, Joseph Gordon-Levitt,2012, Sci-Fi,
The Lighthouse, Willem Dafoe,2019, Drama,
The Machinist, Christian Bale,2004, Thriller,
Lock, Stock and Two Smoking Barrels, Jason Statham,1998, Crime
The Lobster, Colin Farrell,2015, Drama,
Swiss Army Man, Daniel Radcliffe,2016, Comedy,
Drive, Ryan Gosling,2011, Thriller,
Oldboy, Choi Min-sik,2003, Thriller,
Moon, Sam Rockwell,2009, Sci-Fi,
The Secret in Their Eyes, Ricardo Darín,2009, Crime,
The Handmaiden, Kim Min-hee,2016, Romance,
The Peanut Butter Falcon, Shia LaBeouf,2019, Adventure,
Brooklyn, Saoirse Ronan,2015, Drama,
Sound of Metal, Riz Ahmed,2019, Drama,
Wild, Reese Witherspoon,2014, Adventure,
Warrior, Tom Hardy,2011, Drama,
The Nice Guys, Russell Crowe,2016, Comedy,
Gone Baby Gone, Casey Affleck,2007, Crime,
Blue Ruin, Macon Blair,2013, Thriller,
Tangerine, Kitana Kiki Rodriguez,2015, Comedy,
Anomalisa, David Thewlis,2015, Animation,
Short Term 12, Brie Larson,2013, Drama,
The Way Way Back, Steve Carell,2013, Drama,
Sunshine, Cillian Murphy,2007, Sci-Fi,
In Bruges, Colin Farrell,2008, Comedy,
The Secret Life of Pets, Louis C.K.,2016, Animation,
The Boy in the Striped Pajamas, Asa Butterfield,2008, War,
Sin City, Jessica Alba,2005, Action,
The Lovely Bones, Saoirse Ronan,2009, Drama,
The Host, Song Kang-ho,2006, Horror,
Amores Perros, Gael García Bernal,2000, Drama,
The Girl with the Dragon Tattoo, Noomi Rapace,2009, Crime,
La Haine, Vincent Cassel,1995, Drama,
Let the Right One In, Kåre Hedebrant,2008, Horror,
The Raid: Redemption, Iko Uwais,2011, Action,
Paddington 2, Ben Whishaw,2017, Comedy,
Cloud Atlas, Tom Hanks,2012, Sci-Fi,
Three Colors: Red, Irène Jacob,1994, Drama,
The Act of Killing, Anwar Congo,2012, Documentary,
The Man from U.N.C.L.E., Henry Cavill,2015, Action,
Fences, Denzel Washington,2016, Drama,
Hell or High Water, Jeff Bridges,2016, Crime,
Uncut Gems, Adam Sandler,2019, Thriller,
A Separation, Peyman Maadi,2011, Drama,
The Master, Joaquin Phoenix,2012, Drama,
Nocturnal Animals, Amy Adams,2016, Thriller,
Okja, Tilda Swinton,2017, Adventure,
The Square, Claes Bang,2017, Comedy,
Under the Skin, Scarlett Johansson,2013, Sci-Fi,
The Killing of a Sacred Deer, Colin Farrell,2017, Thriller,
Only Lovers Left Alive, Tilda Swinton,2013, Drama,
The Farewell, Awkwafina,2019, Drama,
Phantom Thread, Daniel Day-Lewis,2017, Drama,
The Man Who Wasn't There, Billy Bob Thornton,2001, Crime,
Hacksaw Ridge, Andrew Garfield,2016, War,
Bone Tomahawk, Kurt Russell,2015, Western,
Beasts of No Nation, Idris Elba,2015, War,
The Perks of Being a Wallflower, Logan Lerman,2012, Drama,
Snowpiercer, Chris Evans,2013, Sci-Fi,
The Illusionist, Edward Norton,2006, Drama,
Dredd, Karl Urban,2012, Action,
Rush, Chris Hemsworth,2013, Biography,
Wild Tales, Ricardo Darín,2014, Comedy,
Serenity, Nathan Fillion,2005, Sci-Fi,
Trollhunter, Otto Jespersen,2010, Fantasy,
Blue Valentine, Ryan Gosling,2010, Drama,
A Ghost Story, Casey Affleck,2017, Fantasy,
The Ballad of Buster Scruggs, Tim Blake Nelson,2018, Western,
Ida, Agata Trzebuchowska,2013, Drama,
A Fantastic Woman, Daniela Vega,2017, Drama,
High Life, Robert Pattinson,2018, Sci-Fi,
Underworld, Kate Beckinsale,2003, Action,
Mandy, Nicolas Cage,2018, Horror,
Sorry to Bother You, Lakeith Stanfield,2018, Comedy,
The Death of Stalin, Steve Buscemi,2017, Comedy,
The Invitation, Logan Marshall-Green,2015, Thriller,
American Animals, Evan Peters,2018, Crime,
Colossal, Anne Hathaway,2016, Sci-Fi,
The Rider, Brady Jandreau,2017, Drama,
Eighth Grade, Elsie Fisher,2018, Drama,
Paddington, Ben Whishaw,2014, Comedy,
Leave No Trace, Ben Foster,2018, Drama,
The Endless, Aaron Moorhead,2017, Sci-Fi,
Personal Shopper, Kristen Stewart,2016, Thriller,
The Night Comes for Us, Joe Taslim,2018, Action,
I Tonya, Margot Robbie,2017, Biography,
Good Time, Robert Pattinson,2017, Thriller,
The Witch, Anya Taylor-Joy,2015, Horror,
Don’t Breathe, Stephen Lang,2016, Thriller,
First Reformed, Ethan Hawke,2017, Drama,
Toni Erdmann, Sandra Hüller,2016, Comedy,
Annihilation, Natalie Portman,2018, Sci-Fi,
The Meyerowitz Stories, Adam Sandler,2017, Comedy,
Wildlife, Carey Mulligan,2018, Drama,
The Lost City of Z, Charlie Hunnam,2016, Adventure,
Paterson, Adam Driver,2016, Drama,
Free Fire, Brie Larson,2016, Action,
You Were Never Really Here, Joaquin Phoenix,2017, Thriller,
The Light Between Oceans, Alicia Vikander,2016, Drama,
Brawl in Cell Block 99, Vince Vaughn,2017, Action,
Midnight Special, Michael Shannon,2016, Sci-Fi,
Lion, Dev Patel,2016, Biography,
Hunt for the Wilderpeople, Sam Neill,2016, Adventure,
Victoria, Laia Costa,2015, Crime,
The Neon Demon, Elle Fanning,2016, Horror,
Blue Jay, Sarah Paulson,2016, Drama,
Goodbye Christopher Robin, Domhnall Gleeson,2017, Biography,
Breathe, Andrew Garfield,2017, Drama,
The Beguiled, Nicole Kidman,2017, Drama,
Stronger, Jake Gyllenhaal,2017, Biography,
Brad’s Status, Ben Stiller,2017, Comedy,
Marshall, Chadwick Boseman,2017, Biography,
Happy Death Day, Jessica Rothe,2017, Horror,
Murder on the Orient Express, Kenneth Branagh,2017, Mystery,
Darkest Hour, Gary Oldman,2017, Drama,
I Daniel Blake Dave Johns,2016, Drama,,
The Girl with All the Gifts, Gemma Arterton,2016, Sci-Fi,
Raw, Garance Marillier,2016, Horror,
Elle, Isabelle Huppert,2016, Thriller,
Under the Shadow, Narges Rashidi,2016, Horror,
The Age of Shadows, Song Kang-ho,2016, Thriller,
The Love Witch, Samantha Robinson,2016, Fantasy,
Your Name, Ryûnosuke Kamiki,2016, Animation,
The Red Turtle, Emmanuel Garijo,2016, Animation,
Silence, Andrew Garfield,2016, Drama,
The Founder, Michael Keaton,2016, Biography,
Sully, Tom Hanks,2016, Drama,
My Life as a Zucchini, Gaspard Schlatter,2016, Animation,
Denial, Rachel Weisz,2016, Biography,
The Salesman, Shahab Hosseini,2016, Drama,
20th Century Women, Annette Bening,2016, Comedy,
Loving, Joel Edgerton,2016, Biography,
Little Men, Greg Kinnear,2016, Drama,
Sing Street, Ferdia Walsh-Peelo,2016, Comedy,
The Edge of Seventeen, Hailee Steinfeld,2016, Comedy,
Krisha, Krisha Fairchild,2015, Drama,
Hail Caesar!, Josh Brolin,2016, Comedy,
Me Before You, Emilia Clarke,2016, Romance,
American Honey, Sasha Lane,2016, Drama,
Our Kind of Traitor, Ewan McGregor,2016, Thriller,
Florence Foster Jenkins, Meryl Streep,2016, Biography,
The Fits, Royalty Hightower,2015, Drama,
Amour, Jean-Louis Trintignant,2012, Romance,
Mud, Matthew McConaughey,2012, Drama,
Hugo, Asa Butterfield,2011, Fantasy,
Upstream Color, Amy Seimetz,2013, Sci-Fi,
Boyhood, Ellar Coltrane,2014, Drama,
Juno, Ellen Page,2007, Comedy,
Selma, David Oyelowo,2014, Biography,
Carol, Cate Blanchett,2015, Drama,
Mother, Jennifer Lawrence,2017, Horror,
Monsters, Scoot McNairy,2010, Sci-Fi,
Frank, Michael Fassbender,2014, Comedy,
Locke, Tom Hardy,2013, Drama,
Ex Machina, Alicia Vikander,2015, Sci-Fi,
Risen, Joseph Fiennes,2016, Drama,
Seabiscuit, Tobey Maguire,2003, Drama,
Doubt, Meryl Streep,2008, Drama,
Sideways, Paul Giamatti,2004, Comedy,
Shame, Michael Fassbender,2011, Drama,
Fury, Brad Pitt,2014, War,
Antiviral, Caleb Landry Jones,2012, Sci-Fi,
Dogtooth, Christos Stergioglou,2009, Drama,
Chocolat, Juliette Binoche,2000, Romance,
Coraline, Dakota Fanning,2009, Animation,
Elysium, Matt Damon,2013, Sci-Fi,
Awakenings, Robin Williams,1990, Biography,
Zodiac, Jake Gyllenhaal,2007, Thriller,
Gattaca, Ethan Hawke,1997, Sci-Fi,
Unbroken, Jack O'Connell,2014, War,
Polytechnique, Karine Vanasse,2009, Drama,
Network, Peter Finch,1976, Drama,
Ararat, Charles Aznavour,2002, Drama,
Gummo, Jacob Sewell,1997, Drama,
Brick, Joseph Gordon-Levitt,2005, Thriller,
Triangle, Melissa George,2009, Thriller,
Boy, James Rolleston,2010, Comedy,
Lamb, Ross Partridge,2015, Drama,
Martha Marcy May Marlene, Elizabeth Olsen,2011, Thriller,
Wadjda, Waad Mohammed,2012, Drama,
Memories of Murder, Song Kang-ho,2003, Thriller,
Monos, Julianne Nicholson,2019, Drama,
Jersey, Shahid Kapoor,2019, Sports,
